matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
1,1-fc-koeln,hertha-bsc,2.57,3.34,2.8,3,1,2.0,1.0,1.0,1.0,1,1,1,1,3,1
3,1-fc-koeln,vfl-bochum,1.88,3.73,4.11,2,1,2.0,1.0,2.0,1.0,2,1,2,1,2,1
5,1-fc-koeln,rb-leipzig,4.37,3.95,1.78,1,1,1.0,2.0,1.0,2.0,1,3,1,3,1,1
7,1-fc-koeln,spvgg-greuther-fuerth,1.46,4.83,6.76,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
9,1-fc-koeln,bayer-leverkusen,3.2,3.89,2.09,2,2,1.0,2.0,1.0,2.0,1,2,1,3,2,2
11,1-fc-koeln,1-fc-union-berlin,2.11,3.55,3.44,2,2,2.0,1.0,2.0,1.0,2,1,3,1,2,2
13,1-fc-koeln,borussia-moenchengladbach,2.84,3.6,2.4,4,1,1.0,2.0,1.0,2.0,1,2,1,2,4,1
15,1-fc-koeln,fc-augsburg,1.69,3.98,4.98,0,2,2.0,1.0,2.0,1.0,3,1,3,1,0,2
17,1-fc-koeln,vfb-stuttgart,1.97,3.88,3.57,1,0,2.0,1.0,2.0,1.0,2,1,3,1,1,0
19,1-fc-koeln,fc-bayern-muenchen,7.7,5.77,1.35,0,4,1.0,2.0,1.0,3.0,1,3,1,3,0,4
21,1-fc-koeln,sc-freiburg,2.4,3.52,2.91,1,0,2.0,1.0,2.0,1.0,2,1,2,1,1,0
23,1-fc-koeln,eintracht-frankfurt,2.28,3.66,3.02,1,0,2.0,1.0,2.0,1.0,2,1,3,1,1,0
25,1-fc-koeln,1899-hoffenheim,2.7,3.52,2.57,0,1,1.0,2.0,1.0,1.0,2,1,3,1,0,1
27,1-fc-koeln,borussia-dortmund,3.44,3.87,2.02,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
29,1-fc-koeln,1-fsv-mainz-05,2.5,3.38,2.9,3,2,2.0,1.0,2.0,1.0,2,1,2,1,3,2
31,1-fc-koeln,arminia-bielefeld,1.54,4.36,6.27,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
33,1-fc-koeln,vfl-wolfsburg,1.62,4.48,5.0,0,1,2.0,1.0,2.0,1.0,3,1,3,1,0,1
1,1-fc-union-berlin,bayer-leverkusen,2.79,3.36,2.57,1,1,1.0,2.0,1.0,1.0,1,1,1,1,1,1
3,1-fc-union-berlin,borussia-moenchengladbach,2.58,3.3,2.82,2,1,2.0,1.0,1.0,1.0,1,1,1,1,2,1
4,1-fc-union-berlin,fc-augsburg,1.73,3.94,4.69,0,0,2.0,1.0,2.0,1.0,3,1,3,1,0,0
6,1-fc-union-berlin,arminia-bielefeld,1.72,3.73,5.13,1,0,2.0,1.0,2.0,1.0,3,1,3,1,1,0
8,1-fc-union-berlin,vfl-wolfsburg,2.73,3.19,2.73,2,0,1.0,2.0,1.0,1.0,1,2,1,2,2,0
10,1-fc-union-berlin,fc-bayern-muenchen,8.73,5.69,1.32,2,5,1.0,2.0,1.0,3.0,1,3,1,3,2,5
